Unnamed: 0,ID,Name,Sex,Age,NOC,Team,Sport,Event,Medal,Year,Season,Height,Weight,Games,City,region,notes
1067,1318426,BAT OCHIR Bolortuya,Female,24.0,MGL,Mongolia,Wrestling,Women's Freestyle 53kg,Bronze,2020,Summer,,,2020 Summer,Tokyo,Mongolia,
1068,1429105,BATASHOVA Uliana,Female,26.0,ROC,Russia,Modern Pentathlon,Women's Individual,,2020,Summer,,,2020 Summer,Tokyo,Russia,
1069,1329318,BATBAYAR Enkhkhuslen,Female,19.0,MGL,Mongolia,Swimming,Women's 50m Freestyle,,2020,Summer,,,2020 Summer,Tokyo,Mongolia,
1070,1348941,BATEMAN Amanda,Female,25.0,AUS,Australia,Rowing,Women's Double Sculls Team,,2020,Summer,,,2020 Summer,Tokyo,Australia,
1071,1312463,BATINI Martina,Female,32.0,ITA,Italy,Fencing,Women's Foil Individual,,2020,Summer,,,2020 Summer,Tokyo,Italy,
1072,1312463,BATINI Martina,Female,32.0,ITA,Italy,Fencing,Women's Foil Team,Bronze,2020,Summer,,,2020 Summer,Tokyo,Italy,
1073,1374143,BATIRMURZAEV Yusup,Male,25.0,KAZ,Kazakhstan,Wrestling,Men's Freestyle 125kg,,2020,Summer,,,2020 Summer,Tokyo,Kazakhstan,
1074,1354976,BATISTA Ketiley,Female,22.0,BRA,Brazil,Athletics,Women's 100m Hurdles,,2020,Summer,,,2020 Summer,Tokyo,Brazil,
1075,1315456,BATIVAKALOLO Raichel,Female,23.0,JPN,Japan,Rugby Sevens,Women Team,,2020,Summer,,,2020 Summer,Tokyo,Japan,
1076,1311868,BATKI Noemi,Female,33.0,ITA,Italy,Diving,Women's 10m Platform,,2020,Summer,,,2020 Summer,Tokyo,Italy,
1077,1420762,BATMUNKH Bolorerdene,Female,18.0,MGL,Mongolia,Table Tennis,Women's Singles,,2020,Summer,,,2020 Summer,Tokyo,Mongolia,
1078,1332700,BAT-OCHIR Ser-Od,Male,39.0,MGL,Mongolia,Athletics,Men's Marathon,,2020,Summer,,,2020 Summer,Tokyo,Mongolia,
1079,1308383,BATRA Manika,Female,26.0,IND,India,Table Tennis,Women's Singles,,2020,Summer,,,2020 Summer,Tokyo,India,
1080,1308383,BATRA Manika,Female,26.0,IND,India,Table Tennis,Mixed Doubles Team,,2020,Summer,,,2020 Summer,Tokyo,India,
1081,1428779,BATSARASHKINA Vitalina,Female,24.0,ROC,Russia,Shooting,10m Air Pistol Women,Gold,2020,Summer,,,2020 Summer,Tokyo,Russia,
1082,1428779,BATSARASHKINA Vitalina,Female,24.0,ROC,Russia,Shooting,25m Pistol Women,Gold,2020,Summer,,,2020 Summer,Tokyo,Russia,
