Medal,Event,ID,Sport,Name,Sex,NOC,Team,Height,Weight,Age,City,Year,Season,notes,Games,region
Silver,Men -80kg,1536058,Taekwondo,BARKHORDARI Mehran,Male,IRI,Iran,0.0,0.0,24.0,Paris,2024,Summer,,2024 Summer,Iran
Bronze,Women -49kg,1536064,Taekwondo,NEMATZADEH Mobina,Female,IRI,Iran,0.0,0.0,19.0,Paris,2024,Summer,,2024 Summer,Iran
Silver,Women -57kg,1536067,Taekwondo,KIYANICHANDEH Nahid,Female,IRI,Iran,0.0,0.0,26.0,Paris,2024,Summer,,2024 Summer,Iran
,,1536157,,MPALI Adam,Male,GAB,Gabon,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Gabon
,,1536175,,AMISON Naima-Zahra,Female,DJI,Djibouti,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Djibouti
,,1536184,,STREHLKE DELGADO Paulo,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536190,,SANDOVAL AYALA Martha,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536196,,ESTUDILLO TORRES Alejandra,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
Silver,Men's Synchronised 3m Springboard,1536197,Diving,CELAYA HERNANDEZ Juan Manuel,Male,MEX,Mexico,0.0,0.0,26.0,Paris,2024,Summer,,2024 Summer,Mexico
,,1536198,,VAZQUEZ MONTANO Aranza,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536207,,ALIPOUR SHENAZANDIFARD Reza,Male,IRI,Iran,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536214,,ALAMIAN Nima,Male,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536215,,ALAMIYAN Noshad,Male,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536233,,YASEEN Taha Hussein,Male,IRQ,Iraq,171.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1536251,,MAAN Tulika,Female,IND,India,0.0,0.0,,Paris,2024,Summer,,2024 Summer,India
,,1536341,,ANCER Abraham,Male,MEX,Mexico,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536368,,SHARMA Shubhankar,Male,IND,India,177.0,0.0,,Paris,2024,Summer,,2024 Summer,India
